id,name,n_pubs,n_citations,h_index
308619,Robert Dale,1,0,0
417190,Michael Kipp,1,0,0
445154,Martin Zinkevich,2,0,0
500942,Robert Givan,1,0,0
1161428,A. L. Gorin,1,0,0
1175006,Wolfgang Förstner,1,0,0
1322329,Volodimir G. Vovk,2,0,0
1358797,F R Chung,1,0,0
1551612,John Shawe-Taylor,8,0,0
1570590,M. Toews,1,0,0
35450,Franck Thollard,2,0,0
93633,Nigel Tao,1,0,0
274716,Alain Lecomte,1,0,0
374316,Markus Weber,1,3,1
568091,Dimitri Metaxas,1,1,1
877192,Peter Tu,1,0,0
922323,Satoshi Sato,2,0,0
990997,Jaco Vermaak,3,1,1
995035,Steve Seitz,2,0,0
1077025,Henk Muller,1,1,1
1166090,Sylvain Bouix,2,2,1
1333179,Shai Fine,1,0,0
1339272,Matthias Rychetsky,1,0,0
1343461,Bing Liu,1,0,0
1349638,Charles J. Fillmore,1,0,0
1562014,Christopher S. G. Khoo,1,0,0
338274,M. Farenzena,1,0,0
362849,Timothy Bickmore,1,0,0
387060,David C. Wilson,1,0,0
539498,Slav Petrov,1,0,0
864976,Hwee Tou Ng,3,0,0
964474,Hai Tao,1,0,0
1018007,Zhizhou Wang,1,0,0
1133910,Georgios Petasis,1,0,0
1291122,L. Torgo,1,0,0
1603275,Srinivas Bangalore,2,2,1
1669861,Václav Hlavác,1,1,1
106304,David Ronghwa Chiang,3,3,1
362496,Cecilia Mazzaro,1,0,0
436018,Diane J. Cook,1,0,0
447560,Frederic Richard,1,0,0
654910,Bernhard Schökopf,1,1,1
849964,C. D. Spyropoulos,2,0,0
1188067,Roni Khardon,1,0,0
1292542,Bill Triggs,1,5,1
1582834,Amit Sethi,1,0,0
445010,H. Hassan,1,1,1
771611,Ting Liu,1,0,0
812683,Marta Wilczkowiak,2,0,0
909394,Kohji Dohsaka,1,1,1
1136650,Ryosuke Isotani,1,0,0
1283717,John L. Barron,1,0,0
1441522,Chris Stauffer,1,0,0
1442475,Neil A. Thacker,1,0,0
1584077,M. Pavel,1,0,0
84610,Sugato Basu,1,0,0
530430,Frédéric Guichard Jean-Philippe Tarel,1,2,1
579573,Yaoyong Li,1,0,0
690728,David Stirling,1,0,0
803617,Michael Johnston,1,1,1
875626,Wenwei Yu,1,0,0
919617,Eleazar Eskin,1,0,0
1190103,F. Dornaika,1,0,0
1260856,Yoav Y. Schechner,3,3,1
1292968,Reuven Zaritsky,1,0,0
1412700,B. Stenger,1,0,0
1502066,Dimitrios Kalles,1,0,0
1576992,Lars Bretzner,1,0,0
1589023,Hanning Zhou,1,0,0
1673638,Malvina Nissim,1,0,0
1674341,Mats Rooth,3,4,1
86694,Paul Aarseth,1,0,0
253799,Richard Markham,1,0,0
290916,Nicholas J. Adams,1,0,0
749550,Arun Krishnan,1,0,0
767742,Naftali Tishby,3,0,0
955646,Frank Verbiest,1,0,0
1097853,Harry Shum,1,0,0
1156563,Gian Luca Marcialis,1,0,0
1191133,Chiraz BenAbdelkader,1,0,0
1331840,George Foster,1,2,1
1641126,Junxin Zhang,1,0,0
9258,Jason S. Chang,1,0,0
638805,Egon C. Pasztor,1,2,1
836530,Constantine Papageorgiou,1,2,1
944698,Junling Hu,1,0,0
957063,Björn Johansson,1,0,0
1286087,G. Adda,1,0,0
1668125,Javier Lorenzo,1,1,1
1686498,Gunes Ercal,1,0,0
60382,Shuntaro Isogai,1,1,1
144713,Stefan Riezler,4,10,3
151238,Christian Matenar,1,0,0
293126,Charles Rich,1,0,0
303069,Eugene Charniak,4,7,1
364672,Karsten L. Worm,1,3,1
378049,David Cohn,2,0,0
391837,Bart Selman,1,0,0
502789,Yusuf Sinan Akgul,1,0,0
656383,Alexander Berengolts,1,1,1
668832,Myung-Gil Jang,1,0,0
673226,Attilio Giordana,1,0,0
887836,Hiroshi Yokoi,1,0,0
996611,Kristin P. Bennet,1,0,0
1590097,Zaharin Yusoff,1,0,0
1658278,Ann Copestake,1,3,1
95118,Manfred K Warmuth,1,0,0
288902,Stefan Müller,1,1,1
473858,Fernando Pereira,4,14,2
878607,Balázs Kis,1,0,0
1188964,David C. Gibbon,1,0,0
1259444,Kilyoun Kim,1,0,0
1492794,Jongmoo Choi,1,0,0
62752,Greg Slabaugh,1,0,0
96156,José Gomes,2,0,0
415393,Kristin P. Bennett,2,0,0
496963,K Kanatani,3,4,1
572593,Vadim N. Smelyansky,1,0,0
591237,Silvio Savarese,1,1,1
1422580,Seiichiro Hangai,1,0,0
1583314,Atsushi Yamada,1,0,0
208818,Mark Bernhardt,1,0,0
315364,Kyoko Kanzaki,3,0,0
408661,Peter Meer,6,3,1
621166,Mariano Rivera,2,1,1
632893,Alexei A. Efros,2,3,1
869333,Nikita S. Imennov,1,0,0
970587,Okan Kolak,1,1,1
1092421,Maurício Marengoni,1,0,0
1098396,B C Vemuri,3,0,0
1114942,Jitendra Malik,9,7,2
1135378,Christopher Leckie,1,0,0
1270047,Emiel Krahmer,1,0,0
1310964,Thomas Leung,3,9,2
1404682,Chung Yong Lim,1,0,0
1448955,Guihong Cao,1,0,0
1478671,Carla E. Brodley,4,0,0
1482853,Wei Li,2,0,0
1657844,Justine Cassell,2,0,0
143684,Larry S Davis,6,3,1
310501,Huaigu Cao,1,0,0
393929,Marcel van Lohuizen,2,1,1
664155,Isaac Cohen,1,0,0
864475,Vincent Ng,1,2,1
875276,Clark Francis Olson,1,0,0
975037,Y. Hu,1,0,0
981982,Philip F. Mclauchlan,2,7,2
1026080,James M. Rehg,1,1,1
1230702,Melinda T. Gervasio,1,0,0
1510880,Khurram Shafique,2,0,0
1555647,Abba M Krieger,1,0,0
1681405,Byoung-Tak Zhang,1,0,0
301572,Yiming Ma,6,1,1
515638,B. North,1,2,1
519291,Mukund Padmanabhan,1,0,0
747473,Preetam Maloor,1,1,1
922269,N Lavrac,2,0,0
1115756,F. Wolinski,1,0,0
1268071,Yi Li,1,0,0
1314805,Elliott Drabek,1,0,0
1546002,Yoshinori Sagisaka,1,1,1
1618546,Richard Nock,2,0,0
1627225,Marshall F. Tappen,1,0,0
1679253,Christoph Tillmann,1,4,1
92780,Hai Tao,1,0,0
145422,Ilia Nouretdinov,1,0,0
191048,Peng-Yeng Yin,1,0,0
390345,Dieter Fox,2,0,0
445544,Keith Hanna,1,0,0
611723,Astro Teller,1,0,0
633094,Douglas A. Aberdeen,1,0,0
690472,Josef Sivic,1,0,0
1187958,Rahul Sukthankar,1,0,0
1265372,Michèle Sebag,2,0,0
1343759,Bo-Yeong Kang,1,0,0
1522928,Charles Kervrann,2,1,1
351918,John Dowding,3,1,1
355204,Francesca Odone,1,0,0
358570,Vasileios Hatzivassiloglou,1,1,1
415689,L Allison,1,0,0
429030,Robert Sim,1,0,0
546401,Noboru Miyazaki,1,1,1
875089,Andrew Y. Ng,3,0,0
1139164,Ian H. Witten,1,0,0
1372581,Peter D. Turney,1,0,0
1523335,Minglun Gong,1,0,0
1553524,Olivier Chomat,2,1,1
1555388,Daniel Scharstein,1,0,0
1636577,Myriam Greff,1,0,0
62099,Aravind K. Joshi,2,1,1
446365,Jürgen Forster,1,0,0
552931,R. Malladi,1,0,0
667435,Zhuowen Tu,2,0,0
716834,Jean-Marc Vézien,1,0,0
848486,Marius A. Pasca,3,3,1
905637,Satoshi Sato,1,0,0
1212098,M. Hansen,1,0,0
1320684,Claude G. &#268/ron/ech,1,1,1
1410998,Hae-Chang Rim,4,0,0
1583364,Gianluca Allaria,1,1,1
1638244,Thomas Hofmann,1,0,0
179063,Bonnie L Webber,2,1,1
186193,Scott S. L. Piao,1,0,0
704958,Yee Whye Teh,1,0,0
877017,Ting Yu,1,0,0
956571,Hamish Cunningham,1,0,0
1513201,Kaleem Siddiqi,2,2,1
5965,Joelle Pineau,1,0,0
51977,C. Grover,1,2,1
71288,Robin Cooper,1,0,0
350853,Ping Tan,1,0,0
445293,C. Schmid,1,0,0
651419,L. Robert,1,0,0
734027,M. Hernández-Tejera,1,0,0
830165,John Langford,6,0,0
922181,Abdessamad Echihabi,3,0,0
992328,Dayne Freitag,1,4,1
1094475,Christophe Giraud-Carrier,2,0,0
1169313,Yannick de Kercadio,1,0,0
1192242,Stefan Veeser,1,0,0
1233243,Leonid Kompanets,2,0,0
1272069,Diane Judith Litman,2,2,1
1357344,James Curtis Lester,1,0,0
288303,Jan Puzicha,1,2,1
346275,H Niemann,1,0,0
543654,Jonas Kuhn,4,4,1
618645,Andrew W. More,1,0,0
664216,Yanghai Tsin,1,0,0
837424,C. W. A. M. van Overveld,1,0,0
852087,Arrigo Benedetti,1,0,0
1062154,Jason Baldridge,1,0,0
1153920,Kiri Wagstaff,2,0,0
1185514,Long Quan,5,0,0
1319479,Pierrette Bouillon,1,0,0
1476105,Christopher Meek,1,0,0
1705477,Simone Teufel,1,0,0
1707622,M Hebert,4,0,0
1709306,Joshua Gluckman,1,0,0
14391,Thomas Zöller,1,0,0
31220,Marie Rochery,1,0,0
50062,J. Freixenet,1,0,0
285351,Akshar Bharati,1,0,0
685988,Shivakumar Vaithyanathan,2,0,0
959056,Colin Campbell,1,0,0
1078357,Vangelis Karkaletsis,2,0,0
1120219,P. Fung,1,0,0
1475709,Hang Li,2,2,1
1672919,Rahul Swaminathan,1,0,0
304819,Kristina Toutanova,1,0,0
306110,Bhavani Raskutti,1,0,0
355424,Philip L. Worthington,2,2,1
366724,Mark G. Core,1,0,0
398273,Peter Sand,1,0,0
855700,Huazhong Ning,1,0,0
933788,Mario Hernández,1,1,1
1016632,David Cohn,2,1,1
1046337,Seán Slattery,2,0,0
1139766,Céline Rouveirol,1,0,0
1263423,Rikard Berthilsson,2,0,0
1535749,Antony F. Bowers,1,0,0
95878,Jason Michael Eisner,4,3,1
258080,Li Fei-Fei,1,0,0
363829,Alexis Roche,1,0,0
365154,Hauke Tschach,1,0,0
518341,Jan-Olof Eklundh,3,0,0
626823,Diana Maynard,1,0,0
867095,Gerhard Widmer,1,0,0
885663,Noam Shental,2,0,0
942986,Rakesh Kumar,2,0,0
994130,Gregory F. Welch,1,0,0
1082878,Richard Mann,1,0,0
1110738,Carsten Steger,2,0,0
1480651,Robert C. Moore,1,1,1
1592548,Jérôme Martin,1,0,0
1629771,Maziar Palhang,1,0,0
46701,Yuanzhen Li,2,0,0
377785,Helder Araújo,2,0,0
409977,Gann Bierner,1,0,0
441955,Max Welling,1,3,1
548060,Huan Chang,1,0,0
791110,Craig Boutilier,1,0,0
990857,Anthony R. Dick,2,1,1
1014154,Jangmin O,1,0,0
1237504,Franz Josef Och,4,15,2
1265824,T. B. Y. Lai,1,0,0
1302047,Pierre Dupont,1,0,0
1375727,Pat Langley,1,0,0
1502047,S Sastry,3,1,1
1602638,Arindam Choudhury,1,0,0
1633034,Bryan Singer,2,0,0
1701367,Robert C. Holte,1,0,0
148563,Waleed Al-Fares,1,0,0
228964,Feng Huang,1,0,0
262035,Cornelia Fermüller,1,0,0
300959,Oliver Jesorsky,1,0,0
418600,Gregory Z. Grudic,1,0,0
502347,Michael Werman,3,1,1
528784,William J. Fitzgerald,1,0,0
610441,Alexander Holt,1,0,0
615910,M. Lindenbaum,1,1,1
633113,Eric V. Siegel,1,0,0
793177,Ph. Deschamp,1,0,0
863315,Marko Grobelnik,1,0,0
885802,John M. Winn,1,3,1
1167131,Marco Ramoni,1,0,0
1329048,Srinivasa G. Narasimhan,4,1,1
1563703,Dimitris Samaras,2,1,1
43547,Kiran S. Bhat,1,0,0
192388,A L Yuille,3,2,1
632770,Jan-Mark Geusebroek,4,0,0
788516,Vivian Tsang,1,1,1
825099,Thomas M. Breuel,1,0,0
890288,Xiaoou Tang,3,0,0
1076805,Zoran Duric,1,0,0
1598977,Wei Zhou,1,0,0
1690953,Edward M. Riseman,1,0,0
1696004,Ehud Rivlin,1,0,0
548104,Thomas Morton,1,0,0
562630,Yang Wang,1,0,0
567515,Russell A. Manning,1,1,1
573146,B. Georgescu,2,0,0
578881,Abe Kazemzadeh,1,0,0
682899,M. Teicher,1,0,0
693429,Paul L. Rosin,1,0,0
805629,Tetsuya Ishikawa,2,1,1
958701,Elizabeth O. Bratt,1,1,1
1143962,L. Lee,1,0,0
1176148,Janez Dem&#353/ar,1,0,0
1199310,Greg Mori,2,1,1
1213631,Mitsuhiro Kondo,1,0,0
1319859,Sanjiv Kumar,1,0,0
1356729,Denis Bechet,1,0,0
13297,Adam Kowalczyk,1,0,0
134224,Jun Wang,1,0,0
151846,Jeff G. Schneider,1,0,0
312023,Hideki Tanaka,1,1,1
488025,Juwei Lu,1,0,0
667831,Lynette Hirschman,1,1,1
703713,Hung-Ju Huang,1,0,0
1037563,Umberto Castellani,1,0,0
1132741,Mark Steedman,3,9,2
1469538,Michel Gangnet,2,1,1
1604319,Yongmian Zhang,1,0,0
1616309,Kun Huang,2,0,0
1622190,K S Choi,4,0,0
154919,J. Fiérrez-Aguilar,1,0,0
377897,Fabio Roli,1,0,0
413983,T. Hassner,1,0,0
444945,Paul R. Cohen,1,0,0
474982,John Burger,1,1,1
677381,M. Botta,1,0,0
804273,Alistair Knott,1,1,1
1008173,M. P. Wellman,1,0,0
1106084,Igor Ravve,1,0,0
1131413,Kuang-Cheng Chang,1,0,0
59117,H Okuno,2,0,0
264423,Arnulf B. A. Graf,1,0,0
452599,Brigitte Krenn,1,0,0
485392,Jean-Philippe Tarel,1,0,0
525955,Junhwan Kim,1,0,0
582824,"Pedrito Maynard-Reid, II",1,0,0
1090046,Dan Oblinger,1,0,0
1280557,Ashutosh Garg,1,0,0
1405674,Hwasup Lim,1,0,0
1526671,Greg Schohn,1,1,1
1604991,John T. Maxwell,1,3,1
1695306,G. Satta,2,3,1
109914,James R. Slagle,1,0,0
273782,Tucker Balch,1,0,0
382648,Stefan Carlsson,5,4,1
411831,Amy S. Weinberg,1,1,1
480326,Antonin Rozsypal,1,0,0
480767,Jean-Luc Gauvain,1,0,0
749629,A. P. Shon,1,0,0
751892,Khalil Sima'an,1,1,1
773973,Kalina Bontcheva,1,0,0
1105745,Lucca Ronchetti,1,0,0
1118392,Urszula Chajewska,1,0,0
1225342,Chai Wutiwiwatchai,1,0,0
1480696,Alain Crouzil,1,0,0
147461,Tepchai Supnithi,1,0,0
468873,Josef Bigün,2,0,0
645353,Ismael García-Varea,1,0,0
867490,Frédéric Cao,1,0,0
921010,James L. Hieronymus,1,0,0
961635,Ch. Brechbühler,1,0,0
982770,L. Lee,1,0,0
1169909,David Forsyth,5,1,1
1534308,Grégory Flandin,1,0,0
1668397,Etienne G. Huot,1,0,0
149070,Yang Wang,1,0,0
264210,T Kanade,2,4,1
410719,Ye Zhang,1,0,0
420947,Colin K. M. Ho,1,0,0
427607,James R. Curran,1,0,0
956449,M. A. O. Vasilescu,1,0,0
1032984,Clas Jönsson,1,0,0
1035104,Ruslan Mitkov,1,0,0
1368416,Devina Desai,1,0,0
1441887,S. K. Mitter,2,0,0
1695695,Melissa Dominguez,1,0,0
72883,Edward Schofield,1,0,0
161710,Alessio Del Bue,1,0,0
232815,Eiichiro Sumita,3,0,0
446367,Jeremy Glasner,1,0,0
492319,Ian Frank,1,0,0
504588,William Cohen,1,0,0
535952,Stefano Ferilli,1,0,0
574732,Graham Finlayson,4,0,0
632849,Endong Xun,2,0,0
735112,Philip K. Chan,1,0,0
878209,Dmitriy Genzel,1,0,0
1175471,Haruo Takemura,1,0,0
1526560,Robert W. Frischholz,1,0,0
11513,Zvika Marx,2,0,0
288831,Paul M. Hubel,1,0,0
330533,Malcolm R. K. Ryan,1,0,0
419605,Octavia I. Camps,1,0,0
531352,Kees van Deemter,1,0,0
596112,David A Harwood,1,3,1
849560,X. Cufí,1,0,0
1037346,S. I. Yoo,1,0,0
1043585,Hauke Jans,1,0,0
1289943,Kai-Fu Lee,2,1,1
1441517,Michael Bowling,2,0,0
1524221,Rada Mihalcea,3,4,1
1618180,Stéphanie Jehan-Besson,2,0,0
223474,J Graham,1,0,0
276456,D. Q. Huynh,1,0,0
487452,Koichiro Deguchi,1,0,0
497322,Emmanuel Morin,1,0,0
786128,Alireza Osareh,1,0,0
801394,Sang W. Lee,2,2,1
945986,Pavel Kveton,1,0,0
1328687,Guo-Wei Bian,1,0,0
1482850,Chun-Nan Hsu,1,0,0
1638854,Hsing-Kuo Pao,1,0,0
1711030,Manuel Bodirsky,1,0,0
149215,G. Sparr,4,0,0
625054,Alexandra Psarrou,1,0,0
1027446,German Rigau,1,0,0
1080209,Gerald Dejong,3,0,0
1259503,Dorin Comaniciu,4,3,1
1674070,Xiuwen Liu,2,1,1
1693056,Lance Ramshaw,1,4,1
422403,Elisabeth Rouy,1,1,1
450172,Barbara Caputo,1,0,0
656503,Tony Jebara,1,0,0
1115858,Marko Bohanec,1,0,0
1227515,Anders Heyden,5,0,0
1444730,Johan Montagnat,1,1,1
1583540,Kenji Yamada,4,12,2
1608076,David Pierce,1,0,0
1687541,Paola Sebastiani,1,0,0
74560,S. H. Muggleton,1,0,0
329870,Andrew Blake,1,0,0
398990,Anurag Gupta,1,0,0
404573,Lynne J. Cahill,1,0,0
635880,Uros Pompe,1,0,0
922652,Xiaoqing Ding,1,0,0
989916,Wei Yu,1,0,0
1118364,Jonathan Whiteley,1,0,0
1151200,Adam Kowalczyk,1,0,0
1184581,Masato Kawamoto,1,0,0
1315198,Stephen D. Bay,1,0,0
1534756,T. Evgeniou,1,0,0
114037,Jussi Tohka,1,0,0
130774,Manik Varma,1,0,0
538323,Seiya Osada,1,0,0
556144,Jean-Luc Meunier,1,0,0
779274,M. Barlaud,2,0,0
810437,Bruce Blumberg,1,0,0
877149,Xiang Gao,1,0,0
993849,Yi-Cheng Huang,1,0,0
1005461,Glenn Carroll,2,4,1
1043807,Li Shen,1,0,0
1139935,Thomas Deschamps,2,1,1
1613348,Marko Robnik-Šikonja,2,0,0
1654628,Nicholas Everett,1,0,0
25531,David L. Bean,1,3,1
335803,Guy Rochard,1,0,0
409469,Michael R. Brent,2,1,1
450625,Eiko Yamamoto,1,0,0
471430,P. Johansen,4,0,0
485204,Yukinori Kakazu,1,0,0
515593,HowLung Eng,1,0,0
726304,Anthony Yezzi Jr,1,1,1
869237,Eitan Sharon,1,0,0
1381125,Mikio Nakano,2,1,1
1402449,Jun-ichi Tsujii,7,0,0
1630382,Tetsuji Nakagawa,1,1,1
704,César Ferri,1,0,0
379259,Jason Rennie,1,0,0
487432,Michael Strube,2,1,1
619018,Geert Caenen,1,0,0
827993,Noam Slonim,1,0,0
902650,Nicholas Roy,1,0,0
923945,Christian Retoré,1,0,0
934710,Artur Merke,1,0,0
1143154,Jim Gee,1,0,0
1175876,Yaakov Engel,1,0,0
1544057,Massimiliano Pontil,1,0,0
139507,Hisashi Kashima,1,1,1
218608,Patrick S. Huggins,1,0,0
239917,Christophe Papin,1,0,0
301236,Yanlin Guo,1,0,0
510052,Brian V. Funt,1,0,0
898600,Rachel E. O. Roxas,1,0,0
993810,H. Zaragoza,1,0,0
1118659,David P. Dobkin,1,0,0
1152684,Marc Dymetman,1,0,0
1175070,Dan Pelleg,2,0,0
1197658,Dragan Gamberger,2,0,0
1200549,Rhodri H. Davies,1,0,0
1491735,Lauri Karttunen,1,0,0
230488,Bla&#382/ Zupan,1,0,0
426383,Francis Bond,1,0,0
429134,Giuseppe Carenini,1,1,1
717757,Liesl Osman,1,0,0
769752,Kevin P. Murphy,1,0,0
900237,Se Young Park,1,0,0
1086916,Haifeng Chen,2,0,0
1086988,Aaron Hertzmann,1,0,0
1355231,Sandip Debnath,1,0,0
1454471,Huiqi Li,1,0,0
1581166,Takashi Machida,1,0,0
1634433,John Oliensis,3,0,0
388179,C. J. Rupp,1,3,1
559504,W. James MacLean,1,0,0
570876,Carlo Tomasi,4,2,1
1524514,Kiriakos N. Kutulakos,3,2,1
58704,Timothy Baldwin,2,0,0
231976,Marielle Lange,1,0,0
329899,Daishi Harada,1,0,0
362975,Benjamin Taton,1,0,0
475799,Sundar Vedula,1,1,1
538145,Kah Kay Sung,1,0,0
731615,Sami Romdhani,3,0,0
805339,Mark Johnson,6,9,2
839831,Jimin Liu,1,0,0
892292,Joan Martì,1,0,0
1128186,Sharon A. Caraballo,1,2,1
1138030,Yuji Niwa,1,0,0
1565479,Achim Hoffmann,1,0,0
1586812,Haim Schweitzer,3,0,0
1600170,Walter Kasper,1,3,1
89673,Douglas A. Talbert,1,0,0
417210,Bogdan Matei,1,0,0
491796,Eibe Frank,1,0,0
494270,V. Caselles,1,0,0
503560,Scott D. Cohen,1,1,1
550371,Igor V. Cadez,1,0,0
1102663,Kevin Knight,5,13,2
1157925,Mark A. Ruzon,1,0,0
1290415,Jinyan Li,1,0,0
1356419,Geert-Jan M. Kruijff,1,0,0
1524871,H. Motoda,2,0,0
42849,A. W. Moore,8,0,0
208772,HongJiang Zhang,5,0,0
538319,Tom O'Hara,1,0,0
649279,Richard Segal,1,0,0
740129,Yael Dahan Netzer,1,0,0
761713,J. F. G. de Freitas,1,0,0
770147,Terran Lane,1,0,0
1170666,Naoki Abe,1,0,0
1548314,Yung Taek Kim,1,0,0
1615886,Gregory Shakhnarovich,4,0,0
5992,Kari Torkkola,2,0,0
119404,Chikashi Nobata,2,0,0
221379,Lionel Clément,1,0,0
337256,Ronan Fablet,1,0,0
376217,Yair Weiss,3,3,1
539578,Richard Power,1,0,0
584659,Mi-Suen Lee,1,0,0
868272,Yunbo Cao,1,0,0
924437,S. A. Clark,1,5,1
1008637,Michael Chisholm,1,0,0
1107277,Chong Jin Ong,1,0,0
1176201,P. J. Armstrong,1,0,0
1242125,R. Hartley,1,0,0
1382691,Davide Maltoni,1,0,0
1629618,Paul A. Viola,4,2,1
74730,A. M Tekalp,2,0,0
161282,Behzad Shahrary,1,0,0
191321,Langzhou Chen,1,0,0
398573,Christoph Strecha,2,0,0
503412,Dorian Suc,1,0,0
519481,Lucero Lopez Perez,1,0,0
575691,Takashi Washio,1,0,0
582997,L. Raedt,1,0,0
817988,Rong Yan,1,0,0
1102397,Francesco Ricci,1,0,0
1118397,Jonas August,2,0,0
1178293,N. Reithinger,1,0,0
1300290,Bernardo Magnini,1,0,0
1535308,Arvind Sastry,1,0,0
173903,L. Van Gool,2,0,0
401334,LoongFah Cheong,2,0,0
